fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
NYKSUND,Ålesund,Husøy - Karmøy,2022-01-02 09:00:00+00:00,2022-01-03 11:00:00+00:00
ENERGY SWAN,Risavika,Stavanger,2022-01-02 09:55:00+00:00,2022-01-02 11:45:00+00:00
SVEALAND,Harstad ,Harstad ,2022-01-02 23:30:00+00:00,2022-01-03 00:00:00+00:00
TRYGVE B ,Barentshavet,Honningsvåg,2022-01-03 06:00:00+00:00,2022-01-03 09:00:00+00:00
NORMAND JARSTEIN,Haugesund,Husøy - Karmøy,2022-01-03 16:50:00+00:00,2022-01-03 18:10:00+00:00
NORDERVEG,Austevoll,Haugesund,2022-01-02 15:04:00+00:00,2022-01-02 19:30:00+00:00
G O SARS,Bergen,Måløy,2022-01-07 07:00:00+00:00,2022-01-07 19:00:00+00:00
SKJONGHOLM,Tromsø,Offshoreinst. Barentshavet,2022-01-02 17:25:00+00:00,2022-01-03 05:25:00+00:00
SJOVIK,Kristiansand,Nordsjøen,2022-01-02 16:11:00+00:00,2022-01-02 22:12:00+00:00
GÅSØ FREYJA,Sistranda,Kristiansund,2022-01-04 15:20:00+00:00,2022-01-04 20:40:00+00:00
ASBJORN SELSBANE,Tromsø,Barentshavet,2022-01-04 17:10:00+00:00,2022-01-05 03:00:00+00:00
HALTBAKK NAVIGATOR,Fjelldal,Sandnessjøen,2022-01-04 22:30:00+00:00,2022-01-05 20:00:00+00:00
KYSTBUNKER,Åheim,Kristiansund,2022-01-04 21:00:00+00:00,2022-01-05 10:00:00+00:00
NORDTIND,Barentshavet,Melbu,2022-01-05 01:00:00+00:00,2022-01-05 10:00:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-05 07:00:00+00:00,2022-01-05 10:45:00+00:00
JOHAN HJORT,Bergen,Hanstholm,2022-01-06 12:00:00+00:00,2022-01-12 14:00:00+00:00
BALDVIN,Tromsø,Tromsø,2022-01-07 10:00:00+00:00,2022-01-07 12:00:00+00:00
WALTER HAMMANN,Vordingborg,Stavanger Øst,2022-01-05 13:00:00+00:00,2022-01-07 19:00:00+00:00
FREYJA W,Høgset,Rotterdam,2022-01-06 22:00:00+00:00,2022-01-09 19:00:00+00:00
FEED TRONDHEIM,Eydehavn - Arendal,Wismar,2022-01-05 14:15:00+00:00,2022-01-06 23:00:00+00:00
CLIPPER EOS,Rafnes,Frierfjorden Ankring,2022-01-09 04:42:00+00:00,2022-01-09 05:12:00+00:00
STEINEVIK,Ålesund,Ålesund,2022-01-05 11:50:00+00:00,2022-01-05 13:20:00+00:00
FJORDNES,Jelsa,Aarhus,2022-01-09 03:06:00+00:00,2022-01-10 20:00:00+00:00
NYFJELL,Årdal - Hjelmeland,Bergen,2022-01-05 16:30:00+00:00,2022-01-06 06:00:00+00:00
SCAN TRANS,Bjugn,Herøy ferjekai,2022-01-05 15:00:00+00:00,2022-01-06 14:00:00+00:00
VERMLAND,Stavanger Øst,Eidi,2022-01-05 19:15:00+00:00,2022-01-07 21:00:00+00:00
