fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
AQUAMARINE,Murmansk,Kirkenes,2022-01-21 01:00:00+00:00,2022-01-22 08:00:00+00:00
SAMSKIP CHALLENGER,Holla,Ålesund,2022-01-24 03:20:00+00:00,2022-01-24 15:10:00+00:00
AQUA FJELL,Florø,Måløy,2022-01-20 10:40:00+00:00,2022-01-20 14:00:00+00:00
CANMAR,Bodø,Sortland,2022-01-20 13:00:00+00:00,2022-01-21 05:00:00+00:00
CLIPPER JUPITER,Antwerpen,Kårstø,2022-01-17 07:30:00+00:00,2022-01-20 23:24:00+00:00
FLIPPER,Tromsø,Barentshavet,2022-01-18 04:42:00+00:00,2022-01-18 10:42:00+00:00
GUNNAR LANGVA,Ålesund,Seydisfjørdur,2022-01-20 07:00:00+00:00,2022-01-25 07:00:00+00:00
BJUGNFJORD,København,Randers,2022-01-18 11:20:00+00:00,2022-01-19 05:00:00+00:00
COLOR CARRIER,Oslo,Kiel,2022-01-18 12:00:00+00:00,2022-01-19 09:00:00+00:00
SYKLUS,Bergen,Ørsta,2022-01-20 20:00:00+00:00,2022-01-21 14:15:00+00:00
HORDA PIONEER,Byfjorden - Bergen,Haugsøytangen Ankring,2022-01-15 22:45:00+00:00,2022-01-16 03:35:00+00:00
EIDSVAAG PIONER,Averøy,Vågaholmen,2022-01-18 20:00:00+00:00,2022-01-20 09:00:00+00:00
ULTRA MARGAY,Mo i Rana,Ijmuiden,2022-01-27 18:50:00+00:00,2022-01-31 15:00:00+00:00
FRAKT SUND,Hekkelstrand,Herøya,2022-01-19 19:23:00+00:00,2022-01-23 17:55:00+00:00
SCAN TRANS,Bjugn,Hestvika,2022-01-18 09:00:00+00:00,2022-01-18 12:20:00+00:00
PARTHENON TS,Setubal,Mongstad,2022-01-15 17:00:00+00:00,2022-01-24 20:54:00+00:00
HORDA PIONEER,Langevåg,Leirvik,2022-01-18 22:10:00+00:00,2022-01-19 04:00:00+00:00
EIDSVAAG OPAL,Tovik,Bergeneset,2022-01-19 03:30:00+00:00,2022-01-19 15:00:00+00:00
IMPERATOR,Den Helder,Hausvikstrand,2022-01-19 02:00:00+00:00,2022-01-21 11:30:00+00:00
HAVTIND,Båtsfjord,Barentshavet,2022-01-19 06:15:00+00:00,2022-01-19 13:00:00+00:00
ARKLOW FALCON,Dublin,Odda,2022-01-18 12:00:00+00:00,2022-01-22 02:30:00+00:00
M. YTTERSTAD,Ålesund,Eskifjørdur - Høfn,2022-01-21 19:00:00+00:00,2022-01-24 13:00:00+00:00
AZURIT,Barentshavet,Båtsfjord,2022-01-19 07:00:00+00:00,2022-01-20 05:00:00+00:00
NORTH POMOR,Nordsjøen,Botnaneset - Flora,2022-01-19 09:00:00+00:00,2022-01-19 12:00:00+00:00
COMABAR,Mongstadbase,Risavika,2022-01-19 11:00:00+00:00,2022-01-20 02:00:00+00:00
VIKING PRINCESS,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-20 21:30:00+00:00,2022-01-21 07:00:00+00:00
KAISA,Hull,Storøya Øst,2022-01-19 16:30:00+00:00,2022-01-22 08:40:00+00:00
GULLHA,Oslo,Svelvik,2022-01-20 07:25:00+00:00,2022-01-20 11:50:00+00:00
VARGOY,Skjervøy,Hammerfest,2022-01-19 01:20:00+00:00,2022-01-19 18:00:00+00:00
GUNNAR LANGVA,Søvik,Ålesund,2022-01-19 12:05:00+00:00,2022-01-19 13:05:00+00:00
RONJA EXPLORER,Rørvik,Bindal,2022-01-19 18:05:00+00:00,2022-01-20 02:00:00+00:00
KYSTBUNKER II,Sunndalsøra,Freifjorden 1 Ankring,2022-01-20 04:00:00+00:00,2022-01-20 07:30:00+00:00
LEO SUN,Sture,Cartagena,2022-01-25 14:00:00+00:00,2022-01-26 21:00:00+00:00
KEY BORA,Lysøysund,Hvide Sande,2022-01-22 02:50:00+00:00,2022-01-24 20:00:00+00:00
REM HRIST,Dusavik,Offshoreinst. Nordsjøen,2022-01-20 15:00:00+00:00,2022-01-21 07:00:00+00:00
NORMAND SERENADE,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-20 18:00:00+00:00,2022-01-21 02:00:00+00:00
GLORIA CONFIDENCE,Herøya,Thailand,2022-01-27 06:40:00+00:00,2022-02-15 09:30:00+00:00
NORBAR ,Storesund,Mongstadbase,2022-01-20 15:10:00+00:00,2022-01-21 02:35:00+00:00
ARKLOW VANGUARD,Herøya,Motril,2022-01-25 12:30:00+00:00,2022-01-29 10:00:00+00:00
CHRISTINA,Stenungsund,Rafnes,2022-01-13 05:00:00+00:00,2022-01-13 18:00:00+00:00
HORDAFOR IV,Tromsø,Jøvik,2022-01-12 16:30:00+00:00,2022-01-12 21:00:00+00:00
WITH JUNIOR,Ålesund,Høgset,2022-01-12 21:30:00+00:00,2022-01-13 04:00:00+00:00
NYVING,Dimmelsvik,Langevåg,2022-01-11 16:30:00+00:00,2022-01-11 20:00:00+00:00
FJORDSTRAUM,Botnaneset - Flora,Kristiansund,2022-01-16 03:00:00+00:00,2022-01-16 15:00:00+00:00
BERGEN STAR,Bergen,Mongstad,2022-01-13 04:00:00+00:00,2022-01-13 09:00:00+00:00
ROBRIS,Førde,Florø,2022-01-13 07:30:00+00:00,2022-01-13 10:00:00+00:00
NYKSUND,Hammarvika - Frøya,Averøy,2022-01-15 22:50:00+00:00,2022-01-16 09:00:00+00:00
RO MASTER,Tomma,Herøy ferjekai,2022-01-13 09:10:00+00:00,2022-01-13 11:55:00+00:00
BB SUPPORTER,Husnes,Bergen,2022-01-13 09:00:00+00:00,2022-01-13 17:00:00+00:00
HORDAFOR III,Fensfjorden,Storebø,2022-01-13 08:20:00+00:00,2022-01-13 14:00:00+00:00
LIAHOLM,Lødingen,Averøy,2022-01-13 11:50:00+00:00,2022-01-15 16:55:00+00:00
MANON,Husøy - Karmøy,Austevoll,2022-01-13 14:00:00+00:00,2022-01-13 18:00:00+00:00
ØSTERBRIS,Salthella,Torangsvåg,2022-01-13 14:00:00+00:00,2022-01-13 15:00:00+00:00
ECO SEAS,Skagen,Mongstad,2022-01-18 01:00:00+00:00,2022-01-20 17:00:00+00:00
ROHAV,Skogsvåg,Salthella,2022-01-13 09:30:00+00:00,2022-01-13 11:00:00+00:00
SILVER PEARL,Tromsø,Tromsø,2022-01-13 18:34:00+00:00,2022-01-13 19:18:00+00:00
BEATE,Larvik,Bremerhaven,2022-01-17 14:00:00+00:00,2022-01-18 11:00:00+00:00
FRIGG W,Mosjøen,Høgset,2022-01-19 18:30:00+00:00,2022-01-20 16:42:00+00:00
JSP SLEIPNER,Bergen,Måløy,2022-01-17 01:00:00+00:00,2022-01-17 09:00:00+00:00
JSP SLEIPNER,Ålesund,Bremerhaven,2022-01-18 02:00:00+00:00,2022-01-20 05:00:00+00:00
NYSAND,Etne,Ølen,2022-01-11 15:30:00+00:00,2022-01-11 16:27:00+00:00
SOLFJORD,Litangen - Kragerø,Brevik,2022-01-14 15:00:00+00:00,2022-01-14 20:00:00+00:00
TOBIS,Egersund,Husøy - Karmøy,2022-01-14 14:56:00+00:00,2022-01-14 21:45:00+00:00
IRELAND,Brevik,Kristiansand,2022-01-15 10:40:00+00:00,2022-01-15 18:20:00+00:00
ZVEZDA MURMANA ,Barentshavet,Tromsø Reden,2022-01-14 19:01:00+00:00,2022-01-15 07:00:00+00:00
SC AHTELA,Husnes,Husøy - Karmøy,2022-01-15 10:55:00+00:00,2022-01-15 14:05:00+00:00
SAEBORG,Kristiansund,Offshoreinst. Nordsjøen,2022-01-14 20:40:00+00:00,2022-01-15 00:00:00+00:00
SHETLAND,Alvika,Kjøpsvik,2022-01-15 00:40:00+00:00,2022-01-16 13:40:00+00:00
AURORA GALAXY,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-14 21:30:00+00:00,2022-01-15 08:00:00+00:00
FICARIA SEAWAYS,Immingham,Brevik,2022-01-16 04:00:00+00:00,2022-01-17 08:00:00+00:00
HALTBAKK VIKING,Ålesund,Kristiansund,2022-01-15 00:00:00+00:00,2022-01-15 08:00:00+00:00
SEAGAS LOYALTY,Kårstø,Immingham,2022-01-17 19:35:00+00:00,2022-01-19 04:00:00+00:00
WATERLORD,Kristiansund,Sunndalsøra,2022-01-15 00:45:00+00:00,2022-01-15 06:00:00+00:00
BERGENSFJORD,Hirtshals,Langesund,2022-01-15 08:28:00+00:00,2022-01-15 14:00:00+00:00
AQUA SKILSOY,Dale,Florø,2022-01-13 08:00:00+00:00,2022-01-13 13:00:00+00:00
BERGENSFJORD,Langesund,Hirtshals,2022-01-15 14:40:00+00:00,2022-01-15 20:30:00+00:00
HORDAFOR III,Hirtshals,Salthella,2022-01-15 15:20:00+00:00,2022-01-15 17:00:00+00:00
NORMAND SEARCHER,Mongstadbase,Nordsjøen,2022-01-15 17:20:00+00:00,2022-01-15 22:00:00+00:00
SILVER STAR,Ålesund,Alvika,2022-01-15 22:55:00+00:00,2022-01-15 23:30:00+00:00
BERGEN VIKING,Vestbase,Mongstad,2022-01-16 10:30:00+00:00,2022-01-17 06:15:00+00:00
SLOTTSTEIN,Barentshavet,Rørvik,2022-01-14 10:30:00+00:00,2022-01-16 04:48:00+00:00
SKARHOLM,Nordsjøen,Sirevåg,2022-01-16 01:54:00+00:00,2022-01-16 03:54:00+00:00
SUPERSPEED 1,Larvik,Hirtshals,2022-01-16 11:45:00+00:00,2022-01-16 15:30:00+00:00
AMALIE,Mongstadbase,Ølen,2022-01-16 14:55:00+00:00,2022-01-17 07:15:00+00:00
HUNTER,Vestnes,Hundested,2022-01-16 17:30:00+00:00,2022-01-18 15:00:00+00:00
HAVILA BORG,Mongstadbase,Sløvåg,2022-01-16 13:55:00+00:00,2022-01-16 14:45:00+00:00
FALKFJORD,Bøvågen - Karmøy,Egersund,2022-01-16 17:00:00+00:00,2022-01-17 01:45:00+00:00
PIRAJA,Kristiansand,Egersund,2022-01-16 17:00:00+00:00,2022-01-17 05:00:00+00:00
HORDAFOR IV,Skjervøy,Lauksundet,2022-01-16 12:45:00+00:00,2022-01-16 13:45:00+00:00
FEED HALTEN,Hellvik,Maurholen,2022-01-18 14:00:00+00:00,2022-01-18 14:45:00+00:00
BRENNHOLM,Skarholmen,Nordsjøen,2022-01-17 05:30:00+00:00,2022-01-17 15:00:00+00:00
FAEROYSUND,Fauske,Sørarnøy,2022-01-16 09:20:00+00:00,2022-01-16 15:07:00+00:00
RO SERVER,Vikedal,Brekke,2022-01-16 21:00:00+00:00,2022-01-17 13:00:00+00:00
ROSTEIN,Grytøya,Finnsnes,2022-01-16 09:20:00+00:00,2022-01-16 13:45:00+00:00
LADY HANNEKE,Andenes,Arkhangelsk,2022-01-17 19:00:00+00:00,2022-01-22 11:00:00+00:00
BERGEN VIKING,Ågotnes,Trondheim,2022-01-18 07:00:00+00:00,2022-01-19 07:00:00+00:00
ANDREA L,Nordsjøen,Vopnafjørdur,2022-01-17 10:44:00+00:00,2022-01-17 15:00:00+00:00
RUBIN,Halsa Meløy,Bodø,2022-01-17 14:30:00+00:00,2022-01-17 20:00:00+00:00
FALKBRIS,Husøy - Karmøy,Sand,2022-01-17 19:00:00+00:00,2022-01-18 00:05:00+00:00
VIKTORIA LADY,Skrolsvik,Rørvik,2022-01-15 13:00:00+00:00,2022-01-16 21:30:00+00:00
SALTSTRAUM,Freifjorden 1 Ankring,Tjeldbergodden,2022-01-19 13:05:00+00:00,2022-01-19 16:50:00+00:00
NORMAND SUPPORTER,Risavika,Ekofisk,2022-01-17 20:30:00+00:00,2022-01-18 15:00:00+00:00
SLAATTERØY,Salthella,Nordsjøen,2022-01-17 18:50:00+00:00,2022-01-20 18:51:00+00:00
MAUD,Honningsvåg,Finnsnes,2022-01-19 14:00:00+00:00,2022-01-20 07:00:00+00:00
NIDARO,Bodø,Austvika,2022-01-17 16:00:00+00:00,2022-01-18 03:30:00+00:00
SVEALAND,Myre-Øksnes,Myre-Øksnes,2022-01-18 16:00:00+00:00,2022-01-18 16:15:00+00:00
MAINTAL,Gijon,Trondheim,2022-01-18 17:50:00+00:00,2022-01-25 05:25:00+00:00
FALKVIK,Finnøy,Vadla,2022-01-18 10:30:00+00:00,2022-01-18 13:05:00+00:00
TAXIARCHIS MICHAIL,Kantvik,Vaksdal,2022-01-15 12:15:00+00:00,2022-01-20 20:25:00+00:00
NORMAND FORTUNE,Ekofisk,Risavika,2022-01-18 09:45:00+00:00,2022-01-19 02:35:00+00:00
KRISTINE BONNEVIE,Kristiansand,Bergen,2022-01-21 12:00:00+00:00,2022-01-28 17:00:00+00:00
STORNES,Elnesvågen,Sløvåg Industriområde,2022-01-21 16:30:00+00:00,2022-01-22 12:00:00+00:00
HAVILA JUPITER,Ølen,Haugesund,2022-01-18 16:30:00+00:00,2022-01-18 22:00:00+00:00
FRAMFJORD,Sløvåg Industriområde,Tau,2022-01-19 04:10:00+00:00,2022-01-19 18:00:00+00:00
SEVEN FALCON,Offshoreinst. Nordsjøen,Dusavik,2022-01-19 14:00:00+00:00,2022-01-19 20:00:00+00:00
BERGENSFJORD,Bergen,Risavika,2022-01-19 16:00:00+00:00,2022-01-19 21:40:00+00:00
NIDARO,Austvika,Mo i Rana,2022-01-18 15:35:00+00:00,2022-01-18 18:10:00+00:00
ROHAV,Salthella,Spildepollen,2022-01-13 12:30:00+00:00,2022-01-13 14:10:00+00:00
WILSON MAAS,Mongstad,Rotterdam,2022-01-18 20:00:00+00:00,2022-01-23 08:00:00+00:00
CANMAR,Anfinnsletta,Bognes,2022-01-14 12:25:00+00:00,2022-01-14 15:15:00+00:00
EDDA FERD,Kristiansund,Offshoreinst. Nordsjøen,2022-01-14 17:30:00+00:00,2022-01-15 05:30:00+00:00
EDDA FRENDE,Haugesund,Bergen,2022-01-14 13:00:00+00:00,2022-01-14 20:10:00+00:00
STRIL MAR,Botnaneset - Flora,Offshoreinst. Nordsjøen,2022-01-14 19:00:00+00:00,2022-01-14 22:55:00+00:00
VESTBRIS,Valberg - Kragerø,Frederikshavn,2022-01-14 13:40:00+00:00,2022-01-15 03:00:00+00:00
SEA CUMULUS,St Petersburg,Mongstad,2022-01-13 07:00:00+00:00,2022-01-18 09:30:00+00:00
SAEBJORN,Eggesbønes,Vartdal,2022-01-14 14:40:00+00:00,2022-01-14 20:00:00+00:00
NORVEZHSKOE MORE,Ålesund,Brattvåg,2022-01-17 08:50:00+00:00,2022-01-17 11:20:00+00:00
SORDYROY,Kristiansund,Lerwick,2022-01-17 17:00:00+00:00,2022-01-19 08:00:00+00:00
REM HRIST,Tananger,Dusavik,2022-01-15 02:00:00+00:00,2022-01-15 03:30:00+00:00
KLEVSTRAND,Sirevåg,Herøya,2022-01-15 14:55:00+00:00,2022-01-16 09:10:00+00:00
MISANA,Risavika,Rotterdam,2022-01-15 20:10:00+00:00,2022-01-17 06:00:00+00:00
ICE,Rosendal,Stord base,2022-01-18 01:45:00+00:00,2022-01-18 06:00:00+00:00
MARTIN H,Berlevåg,Vadsø,2022-01-16 04:00:00+00:00,2022-01-16 15:00:00+00:00
INGRID KNUTSEN,Karlsmedgrunnen Ankring,Balder,2022-01-19 15:00:00+00:00,2022-01-22 05:00:00+00:00
ROHAV,Fensfjorden,Ortnevik,2022-01-15 05:30:00+00:00,2022-01-15 10:00:00+00:00
FURE VALO,Hafnarfjørdur,Mongstad,2022-01-15 01:10:00+00:00,2022-01-18 02:25:00+00:00
SEVERYANIN II,Båtsfjord,Barentshavet,2022-01-15 20:00:00+00:00,2022-01-17 21:00:00+00:00
THEA II,Amsterdam,Husøy - Karmøy,2022-01-14 23:30:00+00:00,2022-01-16 11:00:00+00:00
TRANS CARRIER,Risavika,Esbjerg,2022-01-16 16:00:00+00:00,2022-01-17 11:00:00+00:00
RO FJELL,Harstad ,Nordskaget - Frøya,2022-01-16 11:00:00+00:00,2022-01-18 11:00:00+00:00
KYSTBUNKER,Florø,Kalvåg,2022-01-17 07:00:00+00:00,2022-01-17 08:30:00+00:00
STRIL MAR,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-16 15:05:00+00:00,2022-01-16 19:00:00+00:00
SEA-CARGO EXPRESS,Risavika,Husøy - Karmøy,2022-01-17 00:40:00+00:00,2022-01-17 05:05:00+00:00
REM ARCTIC,Offshoreinst. Nordsjøen,Dusavik,2022-01-16 19:00:00+00:00,2022-01-17 07:30:00+00:00
NORD TRAL,Barentshavet,Tromsø,2022-01-17 11:01:00+00:00,2022-01-18 06:45:00+00:00
VIVAX,Skipavik-Gulen,Bergen,2022-01-17 05:00:00+00:00,2022-01-17 11:00:00+00:00
PEAK SKORPO,Trondheim,Steinkjer,2022-01-19 01:05:00+00:00,2022-01-19 06:00:00+00:00
ABBE,Horsøy,Skarholmen,2022-01-17 09:00:00+00:00,2022-01-17 11:00:00+00:00
NORVIND,Sandane,Kaupanger,2022-01-17 12:20:00+00:00,2022-01-18 01:30:00+00:00
RAV,Sandviksberget,Sandstad,2022-01-17 13:00:00+00:00,2022-01-17 19:00:00+00:00
NS FRAYJA,Risavika,Offshoreinst. Nordsjøen,2022-01-17 17:00:00+00:00,2022-01-18 11:00:00+00:00
SUPERSPEED 2,Hirtshals,Larvik,2022-01-17 11:45:00+00:00,2022-01-17 18:15:00+00:00
BONA SAFIR,Gjøsundet,Larsnes,2022-01-17 18:55:00+00:00,2022-01-18 00:40:00+00:00
SCAN FJORD,Botnaneset - Flora,Måløy,2022-01-18 02:20:00+00:00,2022-01-18 04:55:00+00:00
AN HAI WAN,Port-jérôme,Mårnesskagen Ankring,2022-01-17 03:42:00+00:00,2022-01-22 19:30:00+00:00
REM HRIST,Dusavik,Offshoreinst. Nordsjøen,2022-01-18 13:00:00+00:00,2022-01-18 22:00:00+00:00
BELOS,Stathelle,Brevik,2022-01-19 08:00:00+00:00,2022-01-19 09:00:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-18 16:30:00+00:00,2022-01-18 20:15:00+00:00
HAGLAND CHIEF,Herre,Gdansk,2022-01-19 13:45:00+00:00,2022-01-21 11:40:00+00:00
NS ORLA,Åmøyfjorden,Tananger,2022-01-18 20:00:00+00:00,2022-01-18 22:00:00+00:00
RAV,Ålesund,Måløy,2022-01-18 22:20:00+00:00,2022-01-19 06:00:00+00:00
LIGRUNN,Nordsjøen,Straume,2022-01-18 22:00:00+00:00,2022-01-19 04:00:00+00:00
DEEPSEA STAVANGER,Nordsjøen,Ågotnes,2022-01-22 01:30:00+00:00,2022-01-23 14:30:00+00:00
TROMS SIRIUS,Offshoreinst. Nordsjøen,Dusavik,2022-01-19 08:00:00+00:00,2022-01-19 19:00:00+00:00
NORMAND SIGMA,Risavika,Stavanger,2022-01-19 09:00:00+00:00,2022-01-19 10:45:00+00:00
BERGEN ENERGY,Ågotnes,Bergen,2022-01-19 12:30:00+00:00,2022-01-19 14:45:00+00:00
PETREL PACIFIC,Slagentangen,Fawley,2022-01-23 02:30:00+00:00,2022-01-24 09:59:00+00:00
BOA BALDER,Glomfjord,Sandnessjøen,2022-01-14 11:30:00+00:00,2022-01-14 18:15:00+00:00
PATNOS,Fonnesflaket Ankring,Mongstad,2022-01-20 11:00:00+00:00,2022-01-20 13:18:00+00:00
NORMAND SERENADE,Mongstadbase,Brage,2022-01-17 15:00:00+00:00,2022-01-17 21:00:00+00:00
SANDNES,Dirdal,Dirdal,2022-01-18 16:00:00+00:00,2022-01-18 17:00:00+00:00
BB OCEAN,Åmøyfjorden,Stavanger,2022-01-17 15:40:00+00:00,2022-01-17 16:20:00+00:00
HARALD MARTIN,Stokmarknes,Bjarkøy,2022-01-17 10:00:00+00:00,2022-01-17 14:30:00+00:00
NORMAND SEARCHER,Nordsjøen,Mongstadbase,2022-01-17 17:30:00+00:00,2022-01-18 00:00:00+00:00
SVARTFOSS,Svolvær Osan,Sortland,2022-01-18 12:15:00+00:00,2022-01-18 16:00:00+00:00
BARENTS OCEAN,Helsingborg,Langøya,2022-01-17 15:00:00+00:00,2022-01-18 21:00:00+00:00
FOLLA,Kiel,Bremen,2022-01-17 22:50:00+00:00,2022-01-18 20:00:00+00:00
WILSON HULL,Mo i Rana,Glomfjord,2022-01-20 06:00:00+00:00,2022-01-20 07:00:00+00:00
GREETJE,Oslo,Moss,2022-01-19 17:50:00+00:00,2022-01-19 20:30:00+00:00
FASTNET NORE,Florø,Florø,2022-01-18 11:18:00+00:00,2022-01-18 12:25:00+00:00
CL ATLAS,Vlissingen,Herøya,2022-01-18 01:50:00+00:00,2022-01-20 06:45:00+00:00
EDDA FRENDE,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-18 16:40:00+00:00,2022-01-19 06:55:00+00:00
SIDDIS MARINER,Kristiansund,Offshoreinst Halten-Helgeland,2022-01-20 17:00:00+00:00,2022-01-21 05:00:00+00:00
LEONTIOS H,Rotterdam,Sture,2022-01-17 19:24:00+00:00,2022-01-20 15:00:00+00:00
NYSAND,Leirvik,Etne,2022-01-17 10:45:00+00:00,2022-01-17 12:28:00+00:00
IRELAND,Brevik,Oslo,2022-01-19 02:05:00+00:00,2022-01-19 10:15:00+00:00
GROTANGER,Grovfjord,Harstad ,2022-01-18 16:00:00+00:00,2022-01-18 20:00:00+00:00
FRAKT VIK,Bergen,Neverdalsbukta Ankring,2022-01-21 16:35:00+00:00,2022-01-23 16:40:00+00:00
AQUA SKILSOY,Mjølstadneset,Koparnes,2022-01-18 22:00:00+00:00,2022-01-18 23:30:00+00:00
SCOT VENTURE,Antwerpen,Lillesand,2022-01-18 15:30:00+00:00,2022-01-21 00:00:00+00:00
TOMINI LEVANT,Rotterdam,Orkanger,2022-01-19 13:00:00+00:00,2022-01-23 12:15:00+00:00
ANNA-LISE,Nordsjøen,Husøy - Karmøy,2022-01-19 19:00:00+00:00,2022-01-20 00:00:00+00:00
LELIE C,Velsen,Risavika,2022-01-19 19:00:00+00:00,2022-01-22 11:40:00+00:00
LELIE C,Risavika,Rypefjord,2022-01-24 01:20:00+00:00,2022-01-28 11:15:00+00:00
DENSA SEAL,Herøya,Brazil,2022-01-19 22:10:00+00:00,2022-02-09 11:00:00+00:00
KROSSOY,Tromsø,Skjervøy,2022-01-19 16:55:00+00:00,2022-01-19 22:55:00+00:00
LYSBRIS SEAWAYS,Greenock,Skogn,2022-01-19 19:00:00+00:00,2022-01-22 07:00:00+00:00
JSP SKIRNER,Bergen,Florø,2022-01-23 08:00:00+00:00,2022-01-23 15:00:00+00:00
EIKEFJORD,Måløy,Gunhildvågen,2022-01-20 08:10:00+00:00,2022-01-20 12:00:00+00:00
ECO DREAM,Kårstø,Antwerpen,2022-01-22 12:40:00+00:00,2022-01-23 23:00:00+00:00
ROSLAGEN,Knarrevik,Eidsnes,2022-01-19 12:00:00+00:00,2022-01-19 21:15:00+00:00
MARTIN H,Honningsvåg,Vannøy,2022-01-19 12:00:00+00:00,2022-01-20 08:30:00+00:00
LONNINGEN,Sandnessjøen,Nordsjøen,2022-01-20 08:14:00+00:00,2022-01-21 08:00:00+00:00
NYSTEIN,Rekefjord,Høylandsbygda,2022-01-20 11:00:00+00:00,2022-01-20 21:00:00+00:00
FEED RANA,Fredrikstad,Moss Nord,2022-01-20 17:00:00+00:00,2022-01-20 21:00:00+00:00
SELIN S,Oslo,Teesport,2022-01-22 17:15:00+00:00,2022-01-24 20:00:00+00:00
REM ARCTIC,Stavanger,Dusavik,2022-01-20 10:20:00+00:00,2022-01-20 11:30:00+00:00
REM MIST,Rypefjord,Offshoreinst. Barentshavet,2022-01-17 18:25:00+00:00,2022-01-18 12:00:00+00:00
RO ARCTIC,Alta,Torsken,2022-01-16 18:00:00+00:00,2022-01-18 11:00:00+00:00
SALTSTRAUM,Tjeldbergodden,Salt End,2022-01-20 22:50:00+00:00,2022-01-23 21:00:00+00:00
SORMOVSKIY-3057,Brake,Jøssingfjord,2022-01-17 16:30:00+00:00,2022-01-19 17:00:00+00:00
MAUD,Tromsø,Honningsvåg,2022-01-18 16:00:00+00:00,2022-01-19 08:00:00+00:00
NCL SVELGEN,Salten,Glomfjord,2022-01-19 21:55:00+00:00,2022-01-20 05:15:00+00:00
GASO JARL,Averøy,Kvernhusvika,2022-01-18 11:00:00+00:00,2022-01-18 19:10:00+00:00
STOREKNUT,Måløy,Nord-Atlanteren,2022-01-18 12:30:00+00:00,2022-01-21 21:00:00+00:00
TRANS CARRIER,Risavika,Husøy - Karmøy,2022-01-18 17:30:00+00:00,2022-01-18 20:30:00+00:00
ROTTINGOY,Nordsjøen,Os,2022-01-18 22:29:00+00:00,2022-01-19 05:00:00+00:00
REM HRIST,Offshoreinst. Nordsjøen,Dusavik,2022-01-19 01:10:00+00:00,2022-01-19 12:00:00+00:00
TAURANGA,Langevåg,Ølen,2022-01-22 04:00:00+00:00,2022-01-22 06:45:00+00:00
VIKTORIA LADY,Jøssund,Bessaker,2022-01-21 23:10:00+00:00,2022-01-22 00:30:00+00:00
HAVILA CHARISMA,Botnaneset - Flora,Nordsjøen,2022-01-21 16:45:00+00:00,2022-01-22 02:00:00+00:00
CTMA RANGER,Tananger,Stavanger,2022-01-15 18:05:00+00:00,2022-01-15 19:30:00+00:00
WATERLORD,Sunndalsøra,Kristiansund,2022-01-15 22:25:00+00:00,2022-01-16 03:00:00+00:00
VÅGSUND,Husøy - Karmøy,Bjoa,2022-01-16 01:00:00+00:00,2022-01-16 07:12:00+00:00
MEKHANIK PUSTOSHNYY,Mo i Rana,Arkhangelsk,2022-01-25 16:15:00+00:00,2022-01-30 21:00:00+00:00
TRANS CARRIER,Husøy - Karmøy,Risavika,2022-01-16 11:25:00+00:00,2022-01-16 15:00:00+00:00
SOGNEFJORD,Måløy,Florø,2022-01-16 11:55:00+00:00,2022-01-16 14:15:00+00:00
REM STAR,Offshoreinst. Nordsjøen,Sløvåg Industriområde,2022-01-16 11:10:00+00:00,2022-01-16 23:30:00+00:00
NYVING,Tau,Husøy - Karmøy,2022-01-15 11:00:00+00:00,2022-01-15 14:30:00+00:00
VESTTIND,Tromsø,Barentshavet,2022-01-21 21:00:00+00:00,2022-01-22 05:00:00+00:00
TAUPIRI,Eggesbønes,Rovde,2022-01-16 16:15:00+00:00,2022-01-16 22:00:00+00:00
SILVER STAR,Selje,Måløy,2022-01-16 22:00:00+00:00,2022-01-16 23:30:00+00:00
AQUA FJELL,Sandnessjøen,Halsa Meløy,2022-01-16 12:55:00+00:00,2022-01-16 17:50:00+00:00
WILSON ASTAKOS,Odda,Sauda,2022-01-22 11:00:00+00:00,2022-01-23 02:40:00+00:00
RIGNATOR,Trondheim,Harstad ,2022-01-17 13:00:00+00:00,2022-01-19 07:30:00+00:00
FALKVIK,Skogsvåg,Finnøy,2022-01-17 07:40:00+00:00,2022-01-17 17:20:00+00:00
SEA-CARGO EXPRESS,Ågotnes,Mongstadbase,2022-01-17 23:55:00+00:00,2022-01-18 02:55:00+00:00
SKOG,Uthaug,Hammarvika - Frøya,2022-01-17 08:20:00+00:00,2022-01-17 12:30:00+00:00
AQUA HOMBOROY,Langevåg - Sula,Sandstad,2022-01-17 09:15:00+00:00,2022-01-17 21:00:00+00:00
CANMAR,Bognes,Lødingen,2022-01-17 09:20:00+00:00,2022-01-17 13:15:00+00:00
LADY HABARKA,Lødingen,Beverwijk,2022-01-20 13:00:00+00:00,2022-01-24 06:00:00+00:00
MOSTEIN ,Ålesund,Barentshavet,2022-01-17 11:21:00+00:00,2022-01-20 11:00:00+00:00
SNP WIND,Sarpsborg,Tyborøn,2022-01-17 17:45:00+00:00,2022-01-18 14:00:00+00:00
EDDA FAUNA,Haugesund,Husøy - Karmøy,2022-01-17 15:00:00+00:00,2022-01-17 16:00:00+00:00
