fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt,dep_lat,dep_lon,arr_lat,arr_lon
SYDSTRAUM,Engene,Kambo,2022-01-05 18:40:00+00:00,2022-01-05 20:55:00+00:00,58.4013543,8.6922899,59.4776453,10.6923218
SCANBIO ELIDA,Solund,Måløy,2022-01-03 10:15:00+00:00,2022-01-03 18:50:00+00:00,61.0507558,4.5253601,61.9336888,5.1129133
LUMEN,Seljestokken,Kaliningrad,2022-01-05 01:00:00+00:00,2022-01-09 11:00:00+00:00,61.6744446,4.9721058,54.710128,20.5105838
REESTBORG,San Ciprian,Mosjøen,2022-01-01 17:25:00+00:00,2022-01-08 19:35:00+00:00,43.693983,-7.4416367,65.8375342,13.1892098
ROSTEIN,Alta,Kvalfjord,2022-01-02 20:40:00+00:00,2022-01-02 23:30:00+00:00,55.001251,-115.002136,64.9036244,11.0522674
PEARL SEAWAYS,Frederikshavn,Oslo,2022-01-02 22:45:00+00:00,2022-01-03 08:14:00+00:00,57.4412134,10.5336225,59.9133301,10.7389701
360 SUPPLIER,Rekefjord,Tyborøn,2022-01-02 18:00:00+00:00,2022-01-03 09:00:00+00:00,58.3393981,6.260425,55.6877306,12.4743557
EIDSVAAG OPAL,Maursundet,Bergeneset,2022-01-02 15:30:00+00:00,2022-01-03 02:00:00+00:00,69.9380157,20.9474943,69.2367639,19.3599972
SAMSKIP KVITBJORN,Fusa,Risavika,2022-01-02 20:35:00+00:00,2022-01-03 03:55:00+00:00,35.737188,139.334682,58.9266035,5.598135
LADY AYANA,Bygstad,Kaupanger,2022-01-03 04:35:00+00:00,2022-01-03 14:00:00+00:00,61.373855,5.6407022,61.1841967,7.2449657
WATERLORD,Ålesund,Ulsteinvik,2022-01-03 04:49:00+00:00,2022-01-03 13:15:00+00:00,62.4802363,6.5550739,62.3426629,5.84686
EAGLE BARENTS,Mongstad,Offshore,2022-01-03 15:00:00+00:00,2022-01-03 22:59:00+00:00,60.797934,5.011611,33.5762077,-117.8266011
MISSOURIBORG,Herøya,"Ukjent lokasjon, ukjent land",2022-01-02 02:15:00+00:00,2022-01-05 10:15:00+00:00,60.1031064,10.3180849,,
FALKFJORD,Orkanger,Salten,2022-01-04 18:10:00+00:00,2022-01-06 09:00:00+00:00,63.304819,9.8496676,56.0836884,9.5686653
TUNFISK,Sommarøy,Nordsjøen,2022-01-03 20:00:00+00:00,2022-01-04 11:33:00+00:00,68.9055138,15.0628639,56.00276,3.000129
MISIDA,Bergen,Sunndalsøra,2022-01-02 16:00:00+00:00,2022-01-03 09:00:00+00:00,60.3943055,5.3259192,62.6568743,8.6810432
HAVILA JUPITER,Bergen,Mongstadbase,2022-01-01 02:00:00+00:00,2022-01-01 07:00:00+00:00,60.3943055,5.3259192,,
SATURNUS,Risavika,Stavanger Øst,2022-01-02 08:00:00+00:00,2022-01-02 10:20:00+00:00,58.9266035,5.598135,58.9694029,5.7579687
NORMAND FERKING,Sløvåg,Offshoreinst. Nordsjøen,2022-01-01 12:25:00+00:00,2022-01-02 00:00:00+00:00,60.8524007,5.069839,,
HAVILA BORG,Mongstadbase,Bergen,2022-01-01 11:00:00+00:00,2022-01-01 16:00:00+00:00,,,60.3943055,5.3259192
WILSON WAAL,Valsneset,Trondheim Ankring,2022-01-01 09:00:00+00:00,2022-01-01 13:30:00+00:00,63.820758,9.636737,,
HOURAI MARU,Frierfjorden Ankring,Rafnes,2022-01-01 04:31:00+00:00,2022-01-01 05:30:00+00:00,,,59.1027833,9.5788944
VESTAVIND,Egersund,Nordsjøen,2022-01-03 18:30:00+00:00,2022-01-03 20:58:00+00:00,58.4515121,6.0007554,56.00276,3.000129
SLAATTERØY,Ålesund,Barentshavet,2022-01-03 20:51:00+00:00,2022-01-05 01:52:00+00:00,62.4802363,6.5550739,74.3478217,37.809937
YEOMAN BONTRUP,Dyrstad,Amsterdam,2022-01-08 00:40:00+00:00,2022-01-10 22:30:00+00:00,64.0759124,11.4743387,52.3730796,4.8924534
ARCTIC SWAN,Barentshavet,Brattvåg,2022-01-04 00:00:00+00:00,2022-01-05 00:59:00+00:00,74.3478217,37.809937,62.599812,6.444248
VIKING NEPTUN,Killingøy,Stord base,2022-01-02 12:00:00+00:00,2022-01-04 07:00:00+00:00,59.4221342,5.2469257,,
SAMSKIP CHALLENGER,Alvika,Hamburg,2022-01-08 13:37:00+00:00,2022-01-10 20:45:00+00:00,62.4845396,6.403646,53.550341,10.000654
KEY FIGHTER,Valsneset,Fredrikstad,2022-01-07 13:30:00+00:00,2022-01-09 21:50:00+00:00,63.820758,9.636737,59.1862012,10.8680241
NORTH POMOR,Nordsjøen,Botnaneset - Flora,2022-01-04 18:15:00+00:00,2022-01-04 22:00:00+00:00,56.00276,3.000129,61.6079804,5.0674224
VIKING VENUS,Narvik,Alta,2022-01-27 17:00:00+00:00,2022-01-28 09:30:00+00:00,68.4383796,17.4271978,55.001251,-115.002136
FJORDNES,Breiviga,Jelsa,2022-01-02 11:35:00+00:00,2022-01-02 14:05:00+00:00,58.0329342,7.2553761,43.1608097,16.6931431
FIVELBORG,Herøya,Frierfjorden Ankring,2022-01-05 06:50:00+00:00,2022-01-05 07:00:00+00:00,60.1031064,10.3180849,,
VESTLINER,Offshore,Tromsø,2022-01-04 00:00:00+00:00,2022-01-05 07:00:00+00:00,33.5762077,-117.8266011,69.6516345,18.9558585
